Region_ID,State,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Season,Suggested_Crop,Expected_Yield,Year
R0072,Odisha,Loamy,7.18,105,32,78,30.1,32,1145,Kharif,Barley,3.97,2023
R0073,Andhra Pradesh,Red,7.54,98,56,26,28,37,1678,Zaid,Cotton,5.72,2022
R0074,Tamil Nadu,Sandy,7.16,77,71,73,24.9,79,1374,Zaid,Millet,3.6,2020
R0075,Gujarat,Loamy,6.31,38,63,37,35.6,89,1241,Zaid,Soybean,2.64,2020
R0076,Odisha,Red,8.31,128,75,107,24,32,448,Kharif,Barley,4.58,2019
R0077,Odisha,Loamy,8.05,119,73,96,25.5,43,553,Kharif,Sugarcane,5.77,2023
R0078,Bihar,Black,6.27,31,59,15,15.3,34,276,Zaid,Maize,4.02,2018
R0079,Andhra Pradesh,Red,6.71,104,30,156,30.7,51,376,Rabi,Millet,4.12,2022
R0080,Andhra Pradesh,Loamy,6.6,135,14,154,15.5,82,1227,Kharif,Wheat,2.4,2022
R0081,Maharashtra,Clay,8.34,112,55,61,35.3,42,1714,Zaid,Pulses,4.5,2020
R0082,Odisha,Clay,6.89,52,39,20,33.7,87,1736,Kharif,Rice,3.02,2018
R0083,Kerala,Clay,8.48,47,56,100,34.6,45,768,Rabi,Rice,1.58,2023
R0084,Bihar,Sandy,8.07,114,65,159,22.8,44,502,Kharif,Groundnut,2.84,2022
R0085,Gujarat,Red,5.78,139,74,84,27.4,72,310,Kharif,Soybean,5.03,2019
R0086,Maharashtra,Black,5.51,28,21,196,19.4,61,1082,Zaid,Cotton,1.56,2020
R0087,Gujarat,Loamy,7.93,26,74,31,36.8,71,1651,Kharif,Soybean,5.51,2024
R0088,Tamil Nadu,Loamy,6.23,44,24,120,19.8,60,1880,Zaid,Cotton,4.03,2023
R0089,Kerala,Red,6.79,136,52,161,27.3,89,858,Kharif,Sugarcane,4.78,2019
R0090,Tamil Nadu,Black,7.79,22,6,63,28.5,79,1347,Kharif,Maize,1.95,2019
R0091,Gujarat,Clay,7.99,28,7,71,38.3,73,1848,Zaid,Wheat,3.27,2019
R0092,Tamil Nadu,Black,7.45,68,23,51,20.1,58,216,Rabi,Maize,2.32,2021
R0093,Karnataka,Red,7.3,71,77,131,31.1,63,785,Zaid,Groundnut,4.23,2024
R0094,Karnataka,Black,5.71,110,25,187,33.5,89,1423,Kharif,Groundnut,5.44,2020
R0095,Karnataka,Red,6.64,85,8,78,23.3,73,1528,Kharif,Rice,4.67,2018
R0096,Tamil Nadu,Clay,6.49,99,32,118,38.2,67,1696,Rabi,Pulses,5.2,2019
R0097,Maharashtra,Black,6.7,111,27,128,26.1,61,954,Kharif,Millet,3.47,2021
R0098,Andhra Pradesh,Sandy,5.93,141,26,73,20.3,66,1178,Kharif,Wheat,3.38,2020
R0099,Maharashtra,Loamy,8.04,103,27,155,27.9,42,1024,Rabi,Sugarcane,3.02,2018
R0100,Gujarat,Black,6.18,15,76,169,31,55,1115,Rabi,Wheat,5.11,2020
R0101,Odisha,Black,6.52,90,77,199,29.2,40,1150,Kharif,Cotton,1.56,2023
R0102,Andhra Pradesh,Red,8.31,124,6,71,18.9,62,979,Rabi,Sugarcane,1.82,2024
R0103,Bihar,Black,7.92,127,74,115,25.8,47,713,Rabi,Groundnut,3.18,2023
R0104,Kerala,Loamy,8.47,121,24,86,24,62,1946,Zaid,Wheat,2.73,2024
R0105,Kerala,Black,7.39,11,61,154,15.5,74,636,Zaid,Rice,2.84,2021
R0106,Tamil Nadu,Black,8.07,36,37,130,26.3,78,1550,Zaid,Soybean,2.77,2021
R0107,Bihar,Sandy,7.81,16,31,169,38.1,58,1126,Zaid,Barley,4.86,2023
R0108,Punjab,Loamy,5.85,109,13,132,37.9,47,1900,Zaid,Groundnut,1.65,2021
R0109,Bihar,Red,7.81,10,72,148,31.8,85,1397,Zaid,Maize,5.76,2023
R0110,Kerala,Black,7.35,64,13,91,26.5,82,786,Zaid,Wheat,2.97,2023
R0111,Punjab,Sandy,6.88,45,36,33,15.8,41,357,Zaid,Rice,5.35,2020
R0112,Punjab,Clay,7.64,39,37,153,39.7,86,212,Rabi,Barley,4.55,2021
R0113,Bihar,Red,8.4,14,38,56,30.6,74,1263,Kharif,Wheat,5.38,2024
R0114,Punjab,Sandy,6.61,13,71,133,28.2,80,1974,Kharif,Sugarcane,4.6,2018
R0115,Karnataka,Black,6.74,135,21,151,27.4,85,1504,Kharif,Barley,4.73,2023
R0116,Maharashtra,Sandy,5.84,125,33,105,16.1,87,373,Rabi,Soybean,3.91,2023
R0117,Odisha,Loamy,5.69,109,36,164,17.5,70,1007,Zaid,Rice,4.04,2022
R0118,Gujarat,Red,6.44,125,47,198,23.5,89,1785,Zaid,Wheat,3.1,2021
R0119,Maharashtra,Loamy,8.25,106,36,81,36.1,82,1532,Rabi,Maize,2.94,2021
R0120,Kerala,Red,6.98,68,19,195,15.6,37,1220,Zaid,Millet,4.11,2019
R0121,Karnataka,Clay,5.84,29,35,135,32.6,65,1225,Kharif,Millet,4.55,2023
R0122,Tamil Nadu,Red,8.13,107,21,85,36.7,89,1930,Kharif,Sugarcane,5.73,2021
R0123,Tamil Nadu,Sandy,8.23,67,35,66,20.9,71,233,Zaid,Millet,2.65,2021
R0124,Punjab,Loamy,6.53,86,15,40,36.8,32,1591,Zaid,Pulses,2.19,2021
R0125,Andhra Pradesh,Sandy,5.97,81,26,122,15.4,30,1458,Rabi,Millet,3.83,2019
R0126,Gujarat,Sandy,7.46,138,62,93,33.2,63,777,Kharif,Maize,3,2019
R0127,Kerala,Black,7.38,39,25,18,19.4,41,1047,Rabi,Groundnut,3.17,2018
R0128,Tamil Nadu,Clay,6.09,143,35,159,23.6,36,959,Rabi,Cotton,1.59,2018
R0129,Odisha,Sandy,5.64,42,76,73,33,47,245,Zaid,Sugarcane,1.86,2023
R0130,Punjab,Loamy,7.21,59,46,27,24.4,80,476,Zaid,Groundnut,5.06,2020
R0131,Andhra Pradesh,Loamy,6.15,130,45,199,34,37,566,Zaid,Sugarcane,2.35,2018
R0132,Tamil Nadu,Clay,7.52,51,58,118,16.2,75,554,Rabi,Pulses,5.6,2024
R0133,Punjab,Black,7.87,129,42,132,16.8,84,1476,Rabi,Sugarcane,4.36,2023
R0134,Punjab,Red,7.81,144,16,158,35.1,50,271,Rabi,Cotton,4.08,2019
R0135,Kerala,Black,8.38,82,62,94,21.3,39,1551,Kharif,Groundnut,4.3,2019
R0136,Karnataka,Sandy,5.53,24,54,79,36.6,30,317,Kharif,Groundnut,5.97,2020
R0137,Maharashtra,Loamy,7.64,141,12,122,18,78,852,Kharif,Sugarcane,5.66,2020
R0138,Odisha,Black,7.54,16,75,38,25,75,601,Kharif,Cotton,4.26,2021
R0139,Andhra Pradesh,Clay,7.91,125,44,51,20.3,66,640,Kharif,Rice,4.03,2020
R0140,Odisha,Black,8.49,136,44,130,18.8,62,702,Zaid,Barley,4.75,2022
R0141,Kerala,Loamy,6.04,28,11,171,22.9,37,324,Kharif,Pulses,5.75,2019
R0142,Odisha,Black,8.07,134,49,143,38,63,1734,Kharif,Maize,5.34,2024
R0143,Andhra Pradesh,Black,6.99,81,58,185,20.3,31,1343,Kharif,Rice,3.83,2024
R0144,Odisha,Black,8.22,117,8,129,20.8,63,925,Zaid,Rice,5.26,2018
R0145,Punjab,Red,5.84,43,79,134,38.5,79,972,Rabi,Pulses,3,2023
R0146,Karnataka,Clay,7.1,68,47,180,21.2,85,664,Kharif,Pulses,1.71,2023
R0147,Maharashtra,Clay,7.73,126,57,133,25.8,30,1653,Kharif,Sugarcane,5.03,2021
R0148,Gujarat,Black,6.2,113,66,168,24.3,43,1854,Zaid,Millet,2.08,2019
R0149,Maharashtra,Black,6.25,25,5,22,24.7,38,561,Rabi,Barley,5.8,2018
R0150,Kerala,Red,6.61,112,48,128,27.9,36,627,Kharif,Wheat,1.72,2018
R0151,Tamil Nadu,Loamy,5.53,25,9,11,38.4,53,1713,Rabi,Soybean,4.42,2018
R0152,Maharashtra,Black,8.33,30,32,149,30.2,80,891,Rabi,Groundnut,4.4,2019
R0153,Kerala,Black,7.97,71,32,171,15.2,74,1873,Rabi,Barley,3.73,2024
R0154,Tamil Nadu,Loamy,8.02,97,37,151,15.4,57,729,Kharif,Soybean,4.67,2022
R0155,Andhra Pradesh,Red,5.74,132,43,64,33.7,45,1037,Kharif,Wheat,3.13,2022
R0156,Punjab,Red,6.74,15,47,84,24.1,46,1670,Rabi,Barley,4.37,2020
R0157,Kerala,Red,6.56,26,33,108,36.6,69,905,Kharif,Cotton,2.97,2024
R0158,Bihar,Loamy,8.25,31,50,162,22.9,58,908,Rabi,Wheat,4.26,2022
R0159,Punjab,Red,8.24,69,53,48,26.6,70,1712,Rabi,Maize,1.86,2021
R0160,Gujarat,Sandy,6.3,94,74,89,36.1,78,952,Kharif,Cotton,4.2,2019
R0161,Tamil Nadu,Black,6.71,134,34,195,36.8,88,879,Kharif,Pulses,5.28,2022
R0162,Kerala,Sandy,5.71,101,41,32,17.7,72,1866,Zaid,Millet,3.48,2024
R0163,Tamil Nadu,Loamy,7.54,103,30,26,20,68,1180,Rabi,Sugarcane,3.18,2020
R0164,Andhra Pradesh,Loamy,5.66,144,72,50,25.9,81,1554,Rabi,Groundnut,2.59,2021
R0165,Karnataka,Loamy,7.55,66,63,97,29.7,55,1725,Kharif,Cotton,1.94,2019
R0166,Bihar,Loamy,7.67,114,66,36,36.2,42,879,Kharif,Soybean,1.51,2018
R0167,Tamil Nadu,Red,8.21,46,50,75,32.2,34,559,Rabi,Wheat,4.91,2021
R0168,Punjab,Red,7.37,43,59,76,35.8,76,406,Kharif,Soybean,5.3,2023
R0169,Gujarat,Red,7.08,114,59,193,35.3,44,1922,Rabi,Rice,3.78,2021
R0170,Bihar,Red,6.26,91,6,18,26.1,44,325,Rabi,Cotton,4.45,2022
R0171,Bihar,Loamy,5.75,121,58,168,20.9,80,1715,Rabi,Cotton,2.89,2018
R0172,Gujarat,Sandy,8.32,115,47,21,17.8,56,1867,Rabi,Wheat,5.75,2020
R0173,Andhra Pradesh,Loamy,5.99,23,56,63,19.7,63,627,Zaid,Groundnut,4.79,2020
R0174,Karnataka,Loamy,6.44,22,12,29,39.3,73,704,Zaid,Pulses,3.15,2020
R0175,Kerala,Red,8.44,105,14,23,18.2,69,311,Kharif,Cotton,5.08,2019
R0176,Kerala,Loamy,8.02,100,17,60,21.4,32,1151,Rabi,Groundnut,3.63,2022
R0177,Punjab,Red,8.22,10,22,33,39.3,34,1765,Kharif,Barley,2.87,2023
R0178,Karnataka,Clay,6.86,112,76,121,21,56,733,Zaid,Pulses,5.49,2024
R0179,Maharashtra,Loamy,7.8,32,74,198,29.5,30,466,Kharif,Rice,3.52,2019
R0180,Odisha,Black,6.54,122,23,95,26.4,74,1026,Rabi,Rice,2.92,2019
R0181,Tamil Nadu,Clay,7.28,15,50,78,21.4,38,1729,Zaid,Pulses,1.62,2023
R0182,Odisha,Red,7.86,68,12,148,21.7,87,261,Rabi,Millet,3.47,2021
R0183,Tamil Nadu,Red,6.51,106,59,173,19.7,36,830,Rabi,Maize,2.42,2023
R0184,Bihar,Red,5.92,133,25,112,30.3,83,544,Rabi,Rice,5,2024
R0185,Tamil Nadu,Clay,8.08,48,71,104,23.3,52,539,Rabi,Millet,3.28,2019
R0186,Tamil Nadu,Red,6.29,47,15,119,16.3,37,1756,Kharif,Groundnut,5.01,2024
R0187,Tamil Nadu,Loamy,6.02,141,68,51,31.3,78,1887,Zaid,Wheat,4.19,2021
R0188,Kerala,Red,7.83,18,45,36,39.6,78,649,Zaid,Cotton,3.87,2023
R0189,Tamil Nadu,Sandy,5.97,76,43,84,27.8,60,1366,Kharif,Sugarcane,4.7,2019
R0190,Tamil Nadu,Clay,7.22,55,19,104,35.4,44,1999,Kharif,Groundnut,2.33,2020
R0191,Odisha,Red,7.96,143,8,40,24.5,48,1812,Zaid,Cotton,2.81,2022
R0192,Maharashtra,Sandy,6.61,15,38,45,19.6,60,571,Rabi,Millet,1.62,2019
R0193,Tamil Nadu,Clay,7.42,98,74,121,19.2,33,524,Zaid,Sugarcane,5.29,2022
R0194,Punjab,Red,7.91,102,6,10,27.4,30,578,Kharif,Millet,3.7,2022
R0195,Gujarat,Loamy,7.62,85,39,193,30.2,48,1052,Rabi,Barley,1.97,2019
R0196,Gujarat,Black,7.6,87,42,184,23.2,45,1491,Zaid,Cotton,5.72,2024
R0197,Karnataka,Clay,8.08,125,56,47,15.8,62,587,Rabi,Maize,2.91,2021
R0198,Punjab,Black,7.9,139,28,24,37.9,66,786,Rabi,Millet,2.28,2023
R0199,Kerala,Sandy,6.42,107,13,104,34.8,85,1813,Kharif,Rice,1.54,2019
R0200,Punjab,Clay,6.47,62,77,110,19.7,35,1821,Rabi,Wheat,3.05,2021
R0201,Punjab,Clay,5.99,136,30,63,18.9,33,1974,Rabi,Rice,4.14,2021
R0202,Kerala,Black,7.86,128,28,23,29.4,34,1023,Rabi,Pulses,4.7,2023
R0203,Bihar,Black,6.65,85,33,49,22.3,37,459,Rabi,Cotton,4.23,2020
R0204,Odisha,Sandy,6.65,87,23,73,33.8,66,355,Zaid,Barley,2,2022
R0205,Bihar,Black,8.18,11,10,11,28.1,51,1928,Rabi,Groundnut,4.39,2023
R0206,Tamil Nadu,Black,6.69,96,79,161,39.7,43,1686,Rabi,Sugarcane,4.17,2023
R0207,Gujarat,Sandy,7.91,48,52,151,37.7,36,539,Rabi,Cotton,3.56,2019
R0208,Maharashtra,Red,7.5,25,48,79,22.4,47,322,Rabi,Pulses,2.28,2019
R0209,Gujarat,Sandy,6.71,58,33,70,39.7,53,1063,Zaid,Maize,4.16,2024
R0210,Maharashtra,Black,7.36,56,69,93,30.8,69,1031,Zaid,Wheat,1.92,2024
R0211,Andhra Pradesh,Red,5.84,63,48,123,39.2,62,855,Zaid,Cotton,2.9,2022
R0212,Gujarat,Loamy,5.95,25,47,12,36.6,51,1246,Zaid,Millet,2,2023
R0213,Punjab,Clay,7.11,149,6,110,35.6,65,1454,Rabi,Wheat,3.55,2020
R0214,Andhra Pradesh,Black,8.11,29,48,15,39.9,56,1479,Zaid,Pulses,3.81,2021
R0215,Kerala,Sandy,7.84,127,24,40,35.5,54,1897,Kharif,Millet,3.13,2020
R0216,Karnataka,Clay,7.74,78,56,29,37.2,66,843,Rabi,Wheat,5.08,2024
R0217,Bihar,Sandy,7.49,118,74,166,16.5,73,1230,Kharif,Sugarcane,4.63,2018
R0218,Andhra Pradesh,Loamy,5.81,56,38,124,32.2,31,1483,Kharif,Millet,1.69,2019
R0219,Gujarat,Black,7.95,52,26,176,25.7,31,781,Zaid,Sugarcane,5.72,2024
R0220,Tamil Nadu,Black,8.05,20,76,155,19.7,32,354,Kharif,Wheat,2.43,2024
R0221,Tamil Nadu,Black,6.94,73,39,162,36.6,79,1996,Kharif,Wheat,4.01,2021
R0222,Odisha,Red,7.85,32,26,65,37.8,49,662,Kharif,Groundnut,3.13,2018
R0223,Karnataka,Black,6.14,97,17,73,20.5,56,1875,Kharif,Wheat,5.54,2019
R0224,Maharashtra,Red,8.18,14,63,11,31.2,58,721,Kharif,Cotton,5.28,2021
R0225,Maharashtra,Red,7.26,85,45,157,21.9,41,993,Rabi,Barley,5.22,2022
R0226,Tamil Nadu,Loamy,6.21,18,70,24,21.8,45,1454,Rabi,Sugarcane,2.01,2024
R0227,Karnataka,Sandy,5.66,55,57,110,21.5,88,1267,Rabi,Sugarcane,5.07,2021
R0228,Andhra Pradesh,Red,6.99,114,11,149,36.8,60,871,Zaid,Groundnut,4.25,2023
R0229,Punjab,Clay,7.32,16,44,105,15.8,62,1913,Rabi,Millet,1.56,2022
R0230,Odisha,Loamy,7.16,119,66,154,35.8,50,590,Zaid,Soybean,5.09,2024
R0231,Kerala,Black,8.28,140,79,52,37.5,79,1121,Kharif,Groundnut,1.51,2019
R0232,Odisha,Clay,6.64,54,22,19,16.9,88,1851,Rabi,Maize,3.27,2022
R0233,Tamil Nadu,Sandy,7.91,85,70,51,39.3,42,1646,Kharif,Rice,5.4,2020
R0234,Maharashtra,Red,5.61,102,57,124,27.7,43,1748,Kharif,Soybean,1.75,2018
R0235,Karnataka,Loamy,8.44,10,31,149,38.8,75,490,Kharif,Groundnut,4.5,2019
R0236,Andhra Pradesh,Loamy,6.41,35,19,13,17.6,82,1479,Rabi,Groundnut,4.83,2023
R0237,Bihar,Red,6.66,81,60,60,20.9,32,1078,Zaid,Soybean,3.23,2019
R0238,Punjab,Black,6.24,75,60,11,15.7,69,752,Zaid,Maize,4.02,2019
R0239,Maharashtra,Loamy,6.33,38,20,176,19.9,33,617,Kharif,Sugarcane,2.1,2022
R0240,Andhra Pradesh,Red,7.65,133,60,163,39.4,53,1711,Kharif,Cotton,5.9,2024
R0241,Gujarat,Sandy,8.33,77,70,108,29.2,64,1979,Kharif,Sugarcane,3.94,2019
R0242,Kerala,Clay,6.14,85,22,25,18.6,51,1218,Zaid,Cotton,3.21,2024
R0243,Bihar,Loamy,6.04,124,44,51,37.7,42,1501,Zaid,Sugarcane,5.77,2023
R0244,Odisha,Black,5.63,50,71,35,29.5,37,1614,Kharif,Groundnut,2.33,2020
R0245,Odisha,Loamy,8.36,16,74,86,40,75,1846,Zaid,Wheat,4.59,2023
R0246,Gujarat,Sandy,6.93,25,21,159,31.7,57,1685,Kharif,Wheat,5.96,2018
R0247,Andhra Pradesh,Red,8.28,102,71,69,21.4,32,576,Zaid,Rice,4.05,2023
R0248,Kerala,Black,8.34,25,52,147,32.3,86,1695,Zaid,Soybean,2.2,2019
R0249,Bihar,Sandy,6.79,122,60,188,20,76,533,Zaid,Millet,3.56,2023
R0250,Punjab,Sandy,8.4,148,37,170,32.9,83,1630,Rabi,Sugarcane,3.01,2021
R0251,Andhra Pradesh,Black,7.1,20,31,55,32.3,38,1710,Zaid,Sugarcane,1.83,2018
R0252,Odisha,Black,6.09,73,11,123,17.6,71,1752,Rabi,Wheat,5.18,2019
R0253,Andhra Pradesh,Red,8.16,108,11,69,33.8,43,1859,Zaid,Sugarcane,3.27,2023
R0254,Kerala,Clay,6.36,70,19,51,22,52,445,Zaid,Millet,2.35,2020
R0255,Maharashtra,Clay,7.52,85,55,163,34,63,1117,Zaid,Cotton,5.62,2023
R0256,Kerala,Clay,6.15,50,61,192,29.3,59,255,Zaid,Barley,4.05,2021
R0257,Punjab,Red,6.36,19,11,86,33.2,80,1220,Rabi,Wheat,4.35,2020
R0258,Karnataka,Red,8.3,34,6,178,35.6,82,713,Kharif,Sugarcane,4.54,2019
R0259,Kerala,Sandy,5.86,66,8,41,29.8,47,964,Rabi,Groundnut,4.19,2020
R0260,Gujarat,Black,6.75,59,9,119,29,77,1774,Rabi,Groundnut,5.79,2020
R0261,Punjab,Clay,6.86,76,21,44,17.8,53,1774,Zaid,Groundnut,3.15,2024
R0262,Odisha,Clay,6.38,146,60,184,39.4,71,1634,Rabi,Millet,4.92,2019
R0263,Kerala,Sandy,6.8,139,49,48,18.6,52,659,Zaid,Groundnut,5.64,2019
R0264,Andhra Pradesh,Clay,7.38,66,34,170,21.1,48,1477,Rabi,Cotton,5,2019
R0265,Andhra Pradesh,Sandy,8.23,101,64,25,22,43,728,Kharif,Barley,4.81,2019
R0266,Karnataka,Loamy,7.63,66,51,128,24,69,1504,Zaid,Barley,4.4,2018
R0267,Andhra Pradesh,Sandy,8.37,10,22,152,32.5,62,746,Kharif,Wheat,3.98,2018
R0268,Punjab,Loamy,8.4,38,59,91,30.7,42,1523,Rabi,Cotton,3.72,2020
R0269,Andhra Pradesh,Sandy,6.38,38,72,74,29.7,50,765,Zaid,Millet,2.74,2022
R0270,Karnataka,Loamy,7.52,97,62,58,31,67,1917,Rabi,Soybean,5.51,2019
R0271,Gujarat,Red,7.17,91,23,15,25.3,31,1504,Zaid,Soybean,5.87,2020
R0272,Karnataka,Clay,7.39,144,79,132,24.9,65,644,Zaid,Groundnut,3.39,2021
R0273,Andhra Pradesh,Loamy,7.47,109,78,182,15.5,49,1876,Zaid,Rice,4.53,2022
R0274,Maharashtra,Black,7.69,34,66,157,34.3,88,963,Rabi,Maize,3.08,2019
R0275,Karnataka,Sandy,8.02,121,62,157,16.5,67,973,Zaid,Soybean,4.8,2019
R0276,Bihar,Loamy,6.51,41,6,161,35.5,32,1473,Zaid,Barley,1.93,2020
R0277,Odisha,Red,7.74,65,29,173,26.4,64,1523,Kharif,Maize,2.31,2023
R0278,Punjab,Black,5.63,17,47,46,28.7,49,377,Kharif,Wheat,5.5,2020
